State,No. Of States,Pop. (U.S 2013 Census Data),Stores/10k People
Alabama,753,"4,833,722",1.56
Alaska,150,"735,132",2.04
Arizona,1137,"6,626,624",1.72
Arkansas,700,"2,959,373",2.37
California,6778,"38,332,521",1.77
Colorado,1062,"5,268,367",2.02
Connecticut,1284,"3,596,080",3.57
DC,120,"646,449",1.86
Delaware,317,"925,749",3.42
Florida,4453,"19,552,860",2.28
Georgia,1621,"9,992,167",1.62
Hawaii,147,"1,404,054",1.05
Idaho,376,"1,612,136",2.33
Illinois,3048,"12,882,135",2.37
Indiana,1942,"6,570,902",2.96
Iowa,1112,"3,090,416",3.60
Kansas,719,"2,893,957",2.48
Kentucky,1007,"4,395,295",2.29
Louisiana,686,"4,625,470",1.48
Maine,398,"1,328,302",3.00
Maryland,1328,"5,928,814",2.24
Massachusetts,2362,"6,692,824",3.53
Michigan,2831,"9,895,622",2.86
Minnesota,1335,"5,420,380",2.46
Mississippi,451,"2,991,207",1.51
Missouri,1507,"6,044,171",2.49
Montana,261,"1,015,165",2.57
Nebraska,419,"1,868,516",2.24
Nevada,642,"2,790,136",2.30
New Hampshire,512,"1,323,349",3.87
New Jersey,2828,"8,899,339",3.18
New Mexico,323,"2,085,287",1.55
New York,5278,"19,651,127",2.69
North Carolina,1991,"9,848,060",2.02
North Dakota,175,"723,393",2.42
Ohio,3810,"11,570,808",3.29
Oklahoma,815,"3,850,568",2.12
Oregon,892,"3,930,065",2.27
Pennsylvania,4531,"12,733,801",3.56
Rhode Island,378,"1,051,511",3.59
South Carolina,957,"4,774,839",2.00
South Dakota,213,"844,877",2.52
Tennessee,1307,"6,495,978",2.01
Texas,4347,"26,448,193",1.64
Utah,540,"2,900,872",1.86
Vermont,176,"626,630",2.81
Virginia,1751,"8,260,405",2.12
Washington,1346,"6,971,406",1.93
West Virginia,591,"1,854,304",3.19
Wisconsin,1259,"5,742,713",2.19
Wyoming,131,"582,658",2.25
,,,
SOURCE: http://www.pmq.com/December-2014/Pizza-PowerThe-2015-Pizza-Power-Report/,,,
