state,no,population,stores
Alabama,753,4833722,1.56
Alaska,150,735132,2.04
Arizona,1137,6626624,1.72
Arkansas,700,2959373,2.37
California,6778,38332521,1.77
Colorado,1062,5268367,2.02
Connecticut,1284,3596080,3.57
DC,120,646449,1.86
Delaware,317,925749,3.42
Florida,4453,19552860,2.28
Georgia,1621,9992167,1.62
Hawaii,147,1404054,1.05
Idaho,376,1612136,2.33
Illinois,3048,12882135,2.37
Indiana,1942,6570902,2.96
Iowa,1112,3090416,3.60
Kansas,719,2893957,2.48
Kentucky,1007,4395295,2.29
Louisiana,686,4625470,1.48
Maine,398,1328302,3.00
Maryland,1328,5928814,2.24
Massachusetts,2362,6692824,3.53
Michigan,2831,9895622,2.86
Minnesota,1335,5420380,2.46
Mississippi,451,2991207,1.51
Missouri,1507,6044171,2.49
Montana,261,1015165,2.57
Nebraska,419,1868516,2.24
Nevada,642,2790136,2.30
New Hampshire,512,1323349,3.87
New Jersey,2828,8899339,3.18
New Mexico,323,2085287,1.55
New York,5278,19651127,2.69
North Carolina,1991,9848060,2.02
North Dakota,175,723393,2.42
Ohio,3810,11570808,3.29
Oklahoma,815,3850568,2.12
Oregon,892,3930065,2.27
Pennsylvania,4531,12733801,3.56
Rhode Island,378,1051511,3.59
South Carolina,957,4774839,2.00
South Dakota,213,844877,2.52
Tennessee,1307,6495978,2.01
Texas,4347,26448193,1.64
Utah,540,2900872,1.86
Vermont,176,626630,2.81
Virginia,1751,8260405,2.12
Washington,1346,6971406,1.93
West Virginia,591,1854304,3.19
Wisconsin,1259,5742713,2.19
Wyoming,131,582658,2.25
,,,
SOURCE: http://www.pmq.com/December-2014/Pizza-PowerThe-2015-Pizza-Power-Report/,,,
